기준일자,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
20220501,KR7332570001,A332570,와이팜,와이팜,Wireless Amplifier Module Inc.,20200731,KOSDAQ,주권,우량기업부,보통주,500,37141356
20220501,KR7079000006,A079000,와토스 코리아,와토스코리아,"WATOS COREA CO.,LTD",20051115,KOSDAQ,주권,중견기업부,보통주,500,7200000
20220501,KR7316140003,A316140,우리금융지주보통주,우리금융지주,WooriFinancialGroup,20190213,KOSPI,주권,\N,보통주,5000,728060549
20220501,KR7032820003,A032820,우리기술,우리기술,"Woori Technology, Incorporation",20000622,KOSDAQ,주권,벤처기업부,보통주,500,146443893
20220501,KR7041190000,A041190,우리기술투자,우리기술투자,"Woori Technology Investment Co., Ltd",20000609,KOSDAQ,주권,벤처기업부,보통주,500,84000000
20220501,KR7115440000,A115440,우리넷,우리넷,"Woori-Net Co., Ltd.",20100127,KOSDAQ,주권,벤처기업부,보통주,500,9723004
20220501,KR7046970000,A046970,우리로,우리로,"WOORIRO CO., LTD",20121127,KOSDAQ,주권,관리종목(소속부없음),보통주,500,32049634
20220501,KR7082850009,A082850,우리바이오,우리바이오,"WOOREE BIO CO., LTD",20050729,KOSDAQ,주권,중견기업부,보통주,500,47754578
20220501,KR7215360009,A215360,우리산업,우리산업,"WOORY INDUSTRIAL CO.,LTD.",20150506,KOSDAQ,주권,우량기업부,보통주,500,9132163
20220501,KR7072470008,A072470,우리산업홀딩스,우리산업홀딩스,"WOORY INDUSTRIAL HOLDINGS CO.,LTD.",20031028,KOSDAQ,주권,중견기업부,보통주,500,18887341
20220501,KR7073560005,A073560,우리손에프앤지 농업회사법인,우리손에프앤지,"Woorison F&G CO., LTD.",20160727,KOSDAQ,주권,우량기업부,보통주,500,69237643
20220501,KR7037400009,A037400,우리엔터프라이즈,우리엔터프라이즈,WOOREE ENTERPRISE,19991216,KOSDAQ,주권,중견기업부,보통주,500,26223346
20220501,KR7153490008,A153490,우리이앤엘,우리이앤엘,"WOOREE E&L CO.,Ltd.",20130205,KOSDAQ,주권,중견기업부,보통주,500,51480000
20220501,KR7010050003,A010050,우리종합금융보통주,우리종금,Woori Investment Bank,19740911,KOSPI,주권,\N,보통주,500,874203406
20220501,KR7101170009,A101170,우림피티에스,우림피티에스,WOORIM POWER TRAIN SOLUTION,20090428,KOSDAQ,주권,벤처기업부,보통주,500,13500000
20220501,KR7006980007,A006980,우성보통주,우성,WOOSUNG,19881010,KOSPI,주권,\N,보통주,5000,3090000
20220501,KR7066590001,A066590,우수AMS,우수AMS,"WOOSU AMS CO., LTD.",20030212,KOSDAQ,주권,중견기업부,보통주,500,35915235
20220501,KR7017370008,A017370,우신시스템보통주,우신시스템,WooshinSystems,20020528,KOSPI,주권,\N,보통주,500,18314054
20220501,KR7103840005,A103840,우양,우양,"WOOYANG CO., LTD.",20191120,KOSDAQ,주권,중견기업부,보통주,100,14258000
20220501,KR7046940003,A046940,우원개발,우원개발,"Woowon Development Co., Ltd.",20020618,KOSDAQ,주권,우량기업부,보통주,500,18074350
20220501,KR7215380007,A215380,우정바이오,우정바이오,"WOOJUNG BIO, Inc.",20150518,KOSDAQ,주권,벤처기업부,보통주,500,12872836
20220501,KR7065680001,A065680,우주일렉트로닉스,우주일렉트로,"UJU ELECTRONICS CO., LTD",20040102,KOSDAQ,주권,우량기업부,보통주,500,9934220
20220501,KR7105840003,A105840,우진보통주,우진,WOOJIN INC,20100726,KOSPI,주권,\N,보통주,500,20323614
